2024/1/1,7.5,8,1
2024/1/2,6.0,8,1
2024/1/3,7.5,8,1
2024/1/4,7.8,8,1
2024/1/5,6.9,8,1
2024/1/6,8.6,8,1
2024/1/7,4.1,8,1
2024/1/8,3.8,8,1
2024/1/9,4.3,8,1
2024/1/10,5.1,8,1
2024/1/11,5.0,8,1
2024/1/12,7.5,8,1
2024/1/13,5.4,8,1
2024/1/14,3.4,8,1
2024/1/15,6.6,8,1
2024/1/16,4.6,8,1
2024/1/17,4.5,8,1
2024/1/18,8.4,8,1
2024/1/19,10.0,8,1
2024/1/20,8.1,8,1
2024/1/21,10.2,8,1
2024/1/22,6.9,8,1
2024/1/23,2.2,8,1
2024/1/24,0.4,8,1
2024/1/25,2.0,8,1
2024/1/26,4.3,8,1
2024/1/27,5.9,8,1
2024/1/28,5.6,8,1
2024/1/29,5.1,8,1
2024/1/30,5.7,8,1
2024/1/31,6.7,8,1
2024/2/1,8.9,8,1
2024/2/2,5.9,8,1
2024/2/3,4.3,8,1
2024/2/4,6.1,8,1
2024/2/5,4.7,8,1
2024/2/6,5.2,8,1
2024/2/7,5.5,8,1
2024/2/8,4.5,8,1
2024/2/9,4.7,8,1
2024/2/10,5.9,8,1
2024/2/11,5.0,8,1
2024/2/12,6.1,8,1
2024/2/13,6.8,8,1
2024/2/14,10.0,8,1
2024/2/15,12.8,8,1
2024/2/16,7.0,8,1
2024/2/17,5.9,8,1
2024/2/18,9.4,8,1
2024/2/19,12.7,8,1
2024/2/20,14.3,8,1
2024/2/21,10.3,8,1
2024/2/22,8.5,8,1
2024/2/23,6.6,8,1
2024/2/24,6.2,8,1
2024/2/25,6.1,8,1
2024/2/26,6.4,8,1
2024/2/27,6.0,8,1
2024/2/28,6.5,8,1
2024/2/29,6.4,8,1
2024/3/1,8.2,8,1
2024/3/2,3.4,8,1
2024/3/3,4.4,8,1
2024/3/4,9.2,8,1
2024/3/5,7.2,8,1
2024/3/6,8.2,8,1
2024/3/7,7.9,8,1
2024/3/8,7.0,8,1
2024/3/9,4.9,8,1
2024/3/10,4.6,8,1
2024/3/11,7.0,8,1
2024/3/12,8.6,8,1
2024/3/13,8.7,8,1
2024/3/14,8.9,8,1
2024/3/15,10.1,8,1
2024/3/16,12.0,8,1
2024/3/17,11.0,8,1
2024/3/18,8.7,8,1
2024/3/19,8.6,8,1
2024/3/20,5.8,8,1
2024/3/21,4.2,8,1
2024/3/22,6.1,8,1
2024/3/23,8.5,8,1
2024/3/24,10.9,8,1
2024/3/25,12.4,8,1
2024/3/26,10.1,8,1
2024/3/27,9.4,8,1
2024/3/28,11.2,8,1
2024/3/29,16.3,8,1
2024/3/30,16.8,8,1
2024/3/31,16.9,8,1
2024/4/1,17.1,8,1
2024/4/2,13.7,8,1
2024/4/3,13.6,8,1
2024/4/4,16.1,8,1
2024/4/5,13.5,8,1
2024/4/6,14.0,8,1
2024/4/7,17.2,8,1
2024/4/8,17.0,8,1
2024/4/9,13.4,8,1
2024/4/10,10.9,8,1
2024/4/11,14.3,8,1
2024/4/12,17.4,8,1
2024/4/13,18.2,8,1
2024/4/14,18.0,8,1
2024/4/15,18.1,8,1
2024/4/16,19.2,8,1
2024/4/17,19.8,8,1
2024/4/18,18.0,8,1
2024/4/19,17.6,8,1
2024/4/20,17.8,8,1
2024/4/21,16.6,8,1
2024/4/22,19.3,8,1
2024/4/23,18.4,8,1
2024/4/24,16.8,8,1
2024/4/25,17.4,8,1
